dt,b1,b2,b3,b4
2023-01-17 00:00:00.000000000,-0.049,-0.071,-0.132,-0.01
2023-01-17 00:00:04.218956003,-0.042,-0.073,-0.006999999999999999,-0.105
2023-01-17 00:00:08.437912007,0.015,0.0,0.006999999999999999,0.0
2023-01-17 00:00:12.656868011,-0.051,0.02,-0.002,0.1
2023-01-17 00:00:16.875824014,-0.107,0.01,0.127,0.054000000000000006
2023-01-17 00:00:21.094780018,-0.078,-0.212,0.042,-0.044000000000000004
2023-01-17 00:00:25.313736022,-0.02,-0.01,-0.14400000000000002,-0.006999999999999999
2023-01-17 00:00:29.532692025,-0.046,0.11199999999999999,0.034,0.034
2023-01-17 00:00:33.751648029,-0.063,-0.154,0.071,0.076
2023-01-17 00:00:37.970604033,0.068,0.044000000000000004,-0.028999999999999998,0.054000000000000006
2023-01-17 00:00:42.189560037,0.095,0.022000000000000002,-0.09,-0.037000000000000005
2023-01-17 00:00:46.408516040,-0.006999999999999999,0.006999999999999999,-0.024,-0.095
2023-01-17 00:00:50.627472044,-0.046,0.0,-0.122,-0.059000000000000004
2023-01-17 00:00:54.846428048,0.044000000000000004,-0.002,-0.068,0.027000000000000003
2023-01-17 00:00:59.065384051,0.13699999999999998,0.006999999999999999,0.054000000000000006,0.073
2023-01-17 00:01:03.284340055,0.098,-0.032,0.08800000000000001,-0.028999999999999998
2023-01-17 00:01:07.503296059,0.081,-0.081,-0.09,-0.105
2023-01-17 00:01:11.722252063,-0.073,0.042,-0.13699999999999998,-0.083
2023-01-17 00:01:15.941208066,-0.037000000000000005,0.037000000000000005,0.02,-0.015
2023-01-17 00:01:20.160164070,0.012,-0.02,0.17600000000000002,-0.005
2023-01-17 00:01:24.379120074,-0.037000000000000005,0.017,-0.044000000000000004,0.032
2023-01-17 00:01:28.598076077,-0.044000000000000004,-0.051,-0.115,-0.024
2023-01-17 00:01:32.817032081,0.015,-0.017,0.105,-0.061
2023-01-17 00:01:37.035988085,0.044000000000000004,-0.032,0.10300000000000001,-0.081
2023-01-17 00:01:41.254944089,-0.028999999999999998,-0.022000000000000002,-0.2,-0.044000000000000004
2023-01-17 00:01:45.473900092,-0.09,0.071,0.054000000000000006,0.039
2023-01-17 00:01:49.692856096,-0.061,-0.002,0.239,0.071
2023-01-17 00:01:53.911812100,-0.042,-0.107,0.159,0.071
2023-01-17 00:01:58.130768103,-0.002,-0.028999999999999998,0.151,-0.012
2023-01-17 00:02:02.349724107,0.006999999999999999,-0.012,-0.002,0.0
2023-01-17 00:02:06.568680111,0.024,-0.066,0.17600000000000002,0.005
2023-01-17 00:02:10.787636115,-0.005,-0.11199999999999999,0.14400000000000002,-0.032
2023-01-17 00:02:15.006592118,-0.11,-0.059000000000000004,-0.083,-0.046
2023-01-17 00:02:19.225548122,-0.076,-0.068,-0.149,0.08800000000000001
2023-01-17 00:02:23.444504126,0.032,-0.049,0.055999999999999994,-0.006999999999999999
2023-01-17 00:02:27.663460129,0.08800000000000001,0.044000000000000004,0.122,-0.002
2023-01-17 00:02:31.882416133,-0.005,0.061,-0.005,-0.027000000000000003
2023-01-17 00:02:36.101372137,-0.105,-0.012,-0.149,-0.037000000000000005
2023-01-17 00:02:40.320328141,-0.11699999999999999,-0.13699999999999998,0.085,0.039
2023-01-17 00:02:44.539284144,-0.071,-0.024,0.129,0.017
2023-01-17 00:02:48.758240148,-0.002,0.002,-0.159,-0.002
2023-01-17 00:02:52.977196152,-0.017,0.0,-0.154,-0.08800000000000001
2023-01-17 00:02:57.196152155,-0.034,0.061,0.095,0.0
2023-01-17 00:03:01.415108159,-0.098,-0.063,0.066,0.022000000000000002
2023-01-17 00:03:05.634064163,-0.071,-0.071,-0.18100000000000002,0.022000000000000002
2023-01-17 00:03:09.853020167,-0.055999999999999994,-0.073,-0.059000000000000004,-0.028999999999999998
2023-01-17 00:03:14.071976170,-0.083,-0.015,0.002,-0.006999999999999999
2023-01-17 00:03:18.290932174,-0.09300000000000001,-0.049,-0.034,-0.042
2023-01-17 00:03:22.509888178,-0.012,-0.09,-0.037000000000000005,-0.083
2023-01-17 00:03:26.728844181,0.002,-0.054000000000000006,-0.078,-0.005
2023-01-17 00:03:30.947800185,0.042,-0.098,-0.055999999999999994,0.01
2023-01-17 00:03:35.166756189,-0.055999999999999994,-0.061,-0.017,-0.002
2023-01-17 00:03:39.385712192,-0.017,-0.105,0.015,-0.063
2023-01-17 00:03:43.604668196,0.006999999999999999,0.051,-0.01,-0.068
2023-01-17 00:03:47.823624200,-0.015,0.028999999999999998,0.391,-0.11199999999999999
2023-01-17 00:03:52.042580204,0.02,0.134,-0.044000000000000004,-0.046
2023-01-17 00:03:56.261536207,0.015,0.055999999999999994,0.017,0.034
2023-01-17 00:04:00.480492211,0.006999999999999999,0.054000000000000006,0.034,-0.015
2023-01-17 00:04:04.699448215,0.028999999999999998,0.055999999999999994,-0.042,-0.1
2023-01-17 00:04:08.918404218,0.054000000000000006,0.12,-0.11699999999999999,-0.068
2023-01-17 00:04:13.137360222,0.01,-0.054000000000000006,0.166,-0.066
2023-01-17 00:04:17.356316226,-0.006999999999999999,-0.022000000000000002,0.129,-0.022000000000000002
2023-01-17 00:04:21.575272230,-0.055999999999999994,-0.02,0.19,-0.012
2023-01-17 00:04:25.794228233,-0.049,0.042,0.083,-0.027000000000000003
2023-01-17 00:04:30.013184237,-0.034,0.08800000000000001,-0.08800000000000001,0.032
2023-01-17 00:04:34.232140241,0.002,-0.063,-0.105,-0.015
2023-01-17 00:04:38.451096244,0.017,-0.083,-0.146,0.017
2023-01-17 00:04:42.670052248,-0.071,-0.02,-0.017,-0.037000000000000005
2023-01-17 00:04:46.889008252,-0.10300000000000001,-0.078,0.09300000000000001,0.073
2023-01-17 00:04:51.107964256,-0.09300000000000001,0.017,-0.063,0.055999999999999994
2023-01-17 00:04:55.326920259,-0.051,-0.027000000000000003,-0.061,0.076
2023-01-17 00:04:59.545876263,-0.01,-0.006999999999999999,-0.054000000000000006,0.002
2023-01-17 00:05:03.764832267,-0.107,0.039,-0.115,-0.006999999999999999
2023-01-17 00:05:07.983788270,-0.063,0.134,-0.17600000000000002,0.027000000000000003
2023-01-17 00:05:12.202744274,0.054000000000000006,0.134,-0.239,0.027000000000000003
2023-01-17 00:05:16.421700278,0.006999999999999999,0.01,-0.098,0.049
